Province,District,Local Level Name,Type
1,UDAYAPUR,Katari Municipality,Municipality
1,UDAYAPUR,Belaka Municipality,Municipality
2,SAPTARI,Rajgadh Rural Municipality,Rural Municipality
2,SAPTARI,Rupani Rural Municipality,Rural Municipality
2,SAPTARI,Tirahut Rural Municipality,Rural Municipality
2,SAPTARI,Mahadeva Rural Municipality,Rural Municipality
2,SAPTARI,Bishnupur Rural Municipality,Rural Municipality
2,SAPTARI,Chhinnamasta Rural Municipality,Rural Municipality
2,SAPTARI,Balan Bihul Rural Municipality,Rural Municipality
2,SAPTARI,Tilathi Koiladi Rural Municipality,Rural Municipality
2,SAPTARI,Agnisair Krishna Savaran Rural Municipality,Rural Municipality
2,SAPTARI,Hanumannagar Kankalini Municipality,Municipality
2,SAPTARI,Kanchanrup Municipality,Municipality
2,SAPTARI,Rajbiraj Municipality,Municipality
2,SAPTARI,Khadak Municipality,Municipality
2,SAPTARI,Dakneshwori Municipality,Municipality
2,SAPTARI,Saptakoshi Rural Municipality,Municipality
2,SAPTARI,Surunga Municipality,Municipality
2,SAPTARI,Shambhunath Municipality,Municipality
2,SAPTARI,Bode Barsain Municipality,Municipality
2,SIRAHA,Aurahi Rural Municipality,Rural Municipality
2,SIRAHA,Naraha Rural Municipality,Rural Municipality
2,SIRAHA,Arnama Rural Municipality,Rural Municipality
2,SIRAHA,Bhagawanpur Rural Municipality,Rural Municipality
2,SIRAHA,Nawarajpur Rural Municipality,Rural Municipality
2,SIRAHA,Bishnupur Rural Municipality,Rural Municipality
2,SIRAHA,Bariyarpatti Rural Municipality,Rural Municipality
2,SIRAHA,Laxmipur Patari Rural Municipality,Rural Municipality
2,SIRAHA,Sakhuwanankarkatti Rural Municipality,Rural Municipality
2,SIRAHA,Mirchaiya Municipality,Municipality
2,SIRAHA,Lahan Municipality,Municipality
2,SIRAHA,Siraha Municipality,Municipality
2,SIRAHA,Dhangadhimai Municipality,Municipality
2,SIRAHA,Kalyanpur Municipality,Municipality
2,SIRAHA,Karjanha Municipality,Municipality
2,SIRAHA,Golbazar Municipality,Municipality
2,SIRAHA,Sukhipur Municipality,Municipality
2,DHANUSA,Aaurahi Rural Municipality,Rural Municipality
2,DHANUSA,Dhanauji Rural Municipality,Rural Municipality
2,DHANUSA,Bateshwor Rural Municipality,Rural Municipality
2,DHANUSA,Janaknandani Rural Municipality,Rural Municipality
2,DHANUSA,Lakshminiya Rural Municipality,Rural Municipality
2,DHANUSA,Mukhiyapatti Musarmiya Rural Municipality,Rural Municipality
2,DHANUSA,Mithila Bihari Municipality,Municipality
2,DHANUSA,Kamala Municipality,Municipality
2,DHANUSA,Nagarain Municipality,Municipality
2,DHANUSA,Ganeshman Charnath Municipality,Municipality
2,DHANUSA,Mithila Municipality,Municipality
2,DHANUSA,Dhanusadham Municipality,Municipality
2,DHANUSA,Bideha Municipality,Municipality
2,DHANUSA,Sabaila Municipality,Municipality
2,DHANUSA,Hansapur Municipality,Municipality
2,DHANUSA,Janakpurdham Sub-Metropolitian City,Sub-Metropolitian City
2,DHANUSA,Sahidnagar Municipality,Municipality
2,DHANUSA,Chhireshwornath Municipality,Municipality
2,MAHOTTARI,Pipra Rural Municipality,Rural Municipality
2,MAHOTTARI,Sonama Rural Municipality,Rural Municipality
2,MAHOTTARI,Samsi Rural Municipality,Rural Municipality
2,MAHOTTARI,Ekdanra Rural Municipality,Rural Municipality
2,MAHOTTARI,Mahottari Rural Municipality,Rural Municipality
2,MAHOTTARI,Gaushala Municipality,Municipality
2,MAHOTTARI,Ramgopalpur Municipality,Municipality
2,MAHOTTARI,Aurahi Municipality,Municipality
2,MAHOTTARI,Bardibas Municipality,Municipality
2,MAHOTTARI,Bhangaha Municipality,Municipality
2,MAHOTTARI,Jaleswor Municipality,Municipality
2,MAHOTTARI,Balwa Municipality,Municipality
2,MAHOTTARI,Manra Siswa Municipality,Municipality
2,MAHOTTARI,Matihani Municipality,Municipality
2,MAHOTTARI,Loharpatti Municipality,Municipality
2,SARLAHI,Dhankaul Rural Municipality,Rural Municipality
2,SARLAHI,Parsa Rural Municipality,Rural Municipality
2,SARLAHI,Bishnu Rural Municipality,Rural Municipality
2,SARLAHI,Ramnagar Rural Municipality,Rural Municipality
2,SARLAHI,Kaudena Rural Municipality,Rural Municipality
2,SARLAHI,Basbariya Rural Municipality,Rural Municipality
2,SARLAHI,Chandranagar Rural Municipality,Rural Municipality
2,SARLAHI,Chakraghatta Rural Municipality,Rural Municipality
2,SARLAHI,Bramhapuri Rural Municipality,Rural Municipality
2,SARLAHI,Barahathawa Municipality,Municipality
2,SARLAHI,Haripur Municipality,Municipality
2,SARLAHI,Ishworpur Municipality,Municipality
2,SARLAHI,Lalbandi Municipality,Municipality
2,SARLAHI,Malangawa Municipality,Municipality
2,SARLAHI,Kabilasi Municipality,Municipality
2,SARLAHI,Bagmati Municipality,Municipality
2,SARLAHI,Hariwan Municipality,Municipality
2,SARLAHI,Balara Municipality,Municipality
2,SARLAHI,Haripurwa Municipality,Municipality
2,SARLAHI,Godaita Municipality,Municipality
2,RAUTAHAT,Yemunamai Rural Municipality,Rural Municipality
2,RAUTAHAT,Durga Bhagwati Rural Municipality,Rural Municipality
2,RAUTAHAT,Katahariya Municipality,Municipality
2,RAUTAHAT,Maulapur Municipality,Municipality
2,RAUTAHAT,Madhav Narayan Municipality,Municipality
2,RAUTAHAT,Gaur Municipality,Municipality
2,RAUTAHAT,Gujara Municipality,Municipality
2,RAUTAHAT,Garuda Municipality,Municipality
2,RAUTAHAT,Ishanath Municipality,Municipality
2,RAUTAHAT,Chandrapur Municipality,Municipality
2,RAUTAHAT,Dewahhi Gonahi Municipality,Municipality
2,RAUTAHAT,Brindaban Municipality,Municipality
2,RAUTAHAT,Rajpur Municipality,Municipality
2,RAUTAHAT,Rajdevi Municipality,Municipality
2,RAUTAHAT,Gadhimai Municipality,Municipality
2,RAUTAHAT,Phatuwa Bijayapur Municipality,Municipality
2,RAUTAHAT,Baudhimai Municipality,Municipality
2,RAUTAHAT,Paroha Municipality,Municipality
2,BARA,Pheta Rural Municipality,Rural Municipality
2,BARA,Devtal Rural Municipality,Rural Municipality
2,BARA,Prasauni Rural Municipality,Rural Municipality
2,BARA,Suwarna Rural Municipality,Rural Municipality
2,BARA,Baragadhi Rural Municipality,Rural Municipality
2,BARA,Karaiyamai Rural Municipality,Rural Municipality
2,BARA,Parwanipur Rural Municipality,Rural Municipality
2,BARA,Bishrampur Rural Municipality,Rural Municipality
2,BARA,Adarshkotwal Rural Municipality,Rural Municipality
2,BARA,Jitpur Simara Sub-Metropolitian City,Sub-Metropolitian City
2,BARA,Kalaiya Sub-Metropolitian City,Sub-Metropolitian City
2,BARA,Pacharauta Municipality,Municipality
2,BARA,Nijgadh Municipality,Municipality
2,BARA,Simraungadh Municipality,Municipality
2,BARA,Mahagadhimai Municipality,Municipality
2,BARA,Kolhabi Municipality,Municipality
2,PARSA,Thori Rural Municipality,Rural Municipality
2,PARSA,Dhobini Rural Municipality,Rural Municipality
2,PARSA,Chhipaharmai Rural Municipality,Rural Municipality
2,PARSA,Jirabhawani Rural Municipality,Rural Municipality
2,PARSA,Jagarnathpur Rural Municipality,Rural Municipality
2,PARSA,Kalikamai Rural Municipality,Rural Municipality
2,PARSA,Bindabasini Rural Municipality,Rural Municipality
2,PARSA,Pakahamainpur Rural Municipality,Rural Municipality
2,PARSA,SakhuwaPrasauni Rural Municipality,Rural Municipality
2,PARSA,Paterwasugauli Rural Municipality,Rural Municipality
2,PARSA,Birgunj Metropolitian City,Metropolitian City
2,PARSA,Bahudaramai Municipality,Municipality
2,PARSA,Pokhariya Municipality,Municipality
2,PARSA,Parsagadhi Municipality,Municipality
Bagmati,DOLAKHA,Bigu Rural Municipality,Rural Municipality
Bagmati,DOLAKHA,Sailung Rural Municipality,Rural Municipality
Bagmati,DOLAKHA,Melung Rural Municipality,Rural Municipality
Bagmati,DOLAKHA,Baiteshwor Rural Municipality,Rural Municipality
Bagmati,DOLAKHA,Tamakoshi Rural Municipality,Rural Municipality
Bagmati,DOLAKHA,Gaurishankar Rural Municipality,Rural Municipality
Bagmati,DOLAKHA,Kalinchok Rural Municipality,Rural Municipality
Bagmati,DOLAKHA,Jiri Municipality,Municipality
Bagmati,DOLAKHA,Bhimeshwor Municipality,Municipality
Bagmati,SINDHUPALCHOK,Jugal Rural Municipality,Rural Municipality
Bagmati,SINDHUPALCHOK,Balefi Rural Municipality,Rural Municipality
Bagmati,SINDHUPALCHOK,Sunkoshi Rural Municipality,Rural Municipality
Bagmati,SINDHUPALCHOK,Helambu Rural Municipality,Rural Municipality
Bagmati,SINDHUPALCHOK,Bhotekoshi Rural Municipality,Rural Municipality
Bagmati,SINDHUPALCHOK,Lisangkhu Pakhar Rural Municipality,Rural Municipality
Bagmati,SINDHUPALCHOK,Indrawati Rural Municipality,Rural Municipality
Bagmati,SINDHUPALCHOK,Tripurasundari Rural Municipality,Rural Municipality
Bagmati,SINDHUPALCHOK,Panchpokhari Thangpal Rural Municipality,Rural Municipality
Bagmati,SINDHUPALCHOK,Chautara SangachokGadhi Municipality,Municipality
Bagmati,SINDHUPALCHOK,Barhabise Municipality,Municipality
Bagmati,SINDHUPALCHOK,Melamchi Municipality,Municipality
Bagmati,RASUWA,Kalika Rural Municipality,Rural Municipality
Bagmati,RASUWA,Naukunda Rural Municipality,Rural Municipality
Bagmati,RASUWA,Uttargaya Rural Municipality,Rural Municipality
Bagmati,RASUWA,Gosaikunda Rural Municipality,Rural Municipality
Bagmati,RASUWA,Amachodingmo Rural Municipality,Rural Municipality
Bagmati,DHADING,Gajuri Rural Municipality,Rural Municipality
Bagmati,DHADING,Galchi Rural Municipality,Rural Municipality
Bagmati,DHADING,Thakre Rural Municipality,Rural Municipality
Bagmati,DHADING,Siddhalek Rural Municipality,Rural Municipality
Bagmati,DHADING,Khaniyabash Rural Municipality,Rural Municipality
Bagmati,DHADING,Jwalamukhi Rural Municipality,Rural Municipality
Bagmati,DHADING,Gangajamuna Rural Municipality,Rural Municipality
Bagmati,DHADING,Rubi Valley Rural Municipality,Rural Municipality
Bagmati,DHADING,Tripura Sundari Rural Municipality,Rural Municipality
Bagmati,DHADING,Netrawati Dabjong Rural Municipality,Rural Municipality
Bagmati,DHADING,Benighat Rorang Rural Municipality,Rural Municipality
Bagmati,DHADING,Nilakantha Municipality,Municipality
Bagmati,DHADING,Dhunibesi Municipality,Municipality
Bagmati,NUWAKOT,Kakani Rural Municipality,Rural Municipality
Bagmati,NUWAKOT,Tadi Rural Municipality,Rural Municipality
Bagmati,NUWAKOT,Likhu Rural Municipality,Rural Municipality
Bagmati,NUWAKOT,Myagang Rural Municipality,Rural Municipality
Bagmati,NUWAKOT,Shivapuri Rural Municipality,Rural Municipality
Bagmati,NUWAKOT,Kispang Rural Municipality,Rural Municipality
Bagmati,NUWAKOT,Suryagadhi Rural Municipality,Rural Municipality
Bagmati,NUWAKOT,Tarkeshwar Rural Municipality,Rural Municipality
Bagmati,NUWAKOT,Panchakanya Rural Municipality,Rural Municipality
Bagmati,NUWAKOT,Dupcheshwar Rural Municipality,Rural Municipality
Bagmati,NUWAKOT,Belkotgadhi Municipality,Municipality
Bagmati,NUWAKOT,Bidur Municipality,Municipality
Bagmati,KATHMANDU,Kirtipur Municipality,Municipality
Bagmati,KATHMANDU,Shankharapur Municipality,Municipality
Bagmati,KATHMANDU,Nagarjun Municipality,Municipality
Bagmati,KATHMANDU,Kageshwori Manahora Municipality,Municipality
Bagmati,KATHMANDU,Dakshinkali Municipality,Municipality
Bagmati,KATHMANDU,Budhanilakantha Municipality,Municipality
Bagmati,KATHMANDU,Tarakeshwor Municipality,Municipality
Bagmati,KATHMANDU,Kathmandu Metropolitian City,Metropolitian City
Bagmati,KATHMANDU,Tokha Municipality,Municipality
Bagmati,KATHMANDU,Chandragiri Municipality,Municipality
Bagmati,KATHMANDU,Gokarneshwor Municipality,Municipality
Bagmati,BHAKTAPUR,Changunarayan Municipality,Municipality
Bagmati,BHAKTAPUR,Suryabinayak Municipality,Municipality
Bagmati,BHAKTAPUR,Bhaktapur Municipality,Municipality
Bagmati,BHAKTAPUR,Madhyapur Thimi Municipality,Municipality
Bagmati,LALITPUR,Bagmati Rural Municipality,Rural Municipality
Bagmati,LALITPUR,Mahankal Rural Municipality,Rural Municipality
Bagmati,LALITPUR,Konjyosom Rural Municipality,Rural Municipality
Bagmati,LALITPUR,Lalitpur Metropolitian City,Metropolitian City
Bagmati,LALITPUR,Mahalaxmi Municipality,Municipality
Bagmati,LALITPUR,Godawari Municipality,Municipality
Bagmati,KAVREPALANCHOK,Roshi Rural Municipality,Rural Municipality
Bagmati,KAVREPALANCHOK,Temal Rural Municipality,Rural Municipality
Bagmati,KAVREPALANCHOK,Bhumlu Rural Municipality,Rural Municipality
Bagmati,KAVREPALANCHOK,Mahabharat Rural Municipality,Rural Municipality
Bagmati,KAVREPALANCHOK,Bethanchowk Rural Municipality,Rural Municipality
Bagmati,KAVREPALANCHOK,Khanikhola Rural Municipality,Rural Municipality
Bagmati,KAVREPALANCHOK,Chaurideurali Rural Municipality,Rural Municipality
Bagmati,KAVREPALANCHOK,Banepa Municipality,Municipality
Bagmati,KAVREPALANCHOK,Mandandeupur Municipality,Municipality
Bagmati,KAVREPALANCHOK,Dhulikhel Municipality,Municipality
Bagmati,KAVREPALANCHOK,Panauti Municipality,Municipality
Bagmati,KAVREPALANCHOK,Namobuddha Municipality,Municipality
Bagmati,KAVREPALANCHOK,Panchkhal Municipality,Municipality
Bagmati,RAMECHHAP,Sunapati Rural Municipality,Rural Municipality
Bagmati,RAMECHHAP,Doramba Rural Municipality,Rural Municipality
Bagmati,RAMECHHAP,Umakunda Rural Municipality,Rural Municipality
Bagmati,RAMECHHAP,Khadadevi Rural Municipality,Rural Municipality
Bagmati,RAMECHHAP,Gokulganga Rural Municipality,Rural Municipality
Bagmati,RAMECHHAP,Likhu Tamakoshi Rural Municipality,Rural Municipality
Bagmati,RAMECHHAP,Manthali Municipality,Municipality
Bagmati,RAMECHHAP,Ramechhap Municipality,Municipality
Bagmati,SINDHULI,Marin Rural Municipality,Rural Municipality
Bagmati,SINDHULI,Phikkal Rural Municipality,Rural Municipality
Bagmati,SINDHULI,Tinpatan Rural Municipality,Rural Municipality
Bagmati,SINDHULI,Sunkoshi Rural Municipality,Rural Municipality
Bagmati,SINDHULI,Golanjor Rural Municipality,Rural Municipality
Bagmati,SINDHULI,Ghanglekh Rural Municipality,Rural Municipality
Bagmati,SINDHULI,Hariharpurgadhi Rural Municipality,Rural Municipality
Bagmati,SINDHULI,Dudhouli Municipality,Municipality
Bagmati,SINDHULI,Kamalamai Municipality,Municipality
Bagmati,MAKWANPUR,Bakaiya Rural Municipality,Rural Municipality
Bagmati,MAKWANPUR,Kailash Rural Municipality,Rural Municipality
Bagmati,MAKWANPUR,Manahari Rural Municipality,Rural Municipality
Bagmati,MAKWANPUR,Bhimphedi Rural Municipality,Rural Municipality
Bagmati,MAKWANPUR,Bagmati Rural Municipality,Rural Municipality
Bagmati,MAKWANPUR,Raksirang Rural Municipality,Rural Municipality
Bagmati,MAKWANPUR,Makawanpurgadhi Rural Municipality,Rural Municipality
Bagmati,MAKWANPUR,Indrasarowar Rural Municipality,Rural Municipality
Bagmati,MAKWANPUR,Hetauda Sub-Metropolitian City,Sub-Metropolitian City
Bagmati,MAKWANPUR,Thaha Municipality,Municipality
Bagmati,CHITAWAN,Ichchhyakamana Rural Municipality,Rural Municipality
Bagmati,CHITAWAN,Bharatpur Metropolitian City,Metropolitian City
Bagmati,CHITAWAN,Kalika Municipality,Municipality
Bagmati,CHITAWAN,Khairahani Municipality,Municipality
Bagmati,CHITAWAN,Madi Municipality,Municipality
Bagmati,CHITAWAN,Rapti Municipality,Municipality
Bagmati,CHITAWAN,Ratnanagar Municipality,Municipality
Gandaki,GORKHA,Gandaki Rural Municipality,Rural Municipality
Gandaki,GORKHA,Dharche Rural Municipality,Rural Municipality
Gandaki,GORKHA,Aarughat Rural Municipality,Rural Municipality
Gandaki,GORKHA,Ajirkot Rural Municipality,Rural Municipality
Gandaki,GORKHA,Sahid Lakhan Rural Municipality,Rural Municipality
Gandaki,GORKHA,Siranchok Rural Municipality,Rural Municipality
Gandaki,GORKHA,Bhimsenthapa Rural Municipality,Rural Municipality
Gandaki,GORKHA,Chum Nubri Rural Municipality,Rural Municipality
Gandaki,GORKHA,Barpak Sulikot Rural Municipality,Rural Municipality
Gandaki,GORKHA,Palungtar Municipality,Municipality
Gandaki,GORKHA,Gorkha Municipality,Municipality
Gandaki,MANANG,Chame Rural Municipality,Rural Municipality
Gandaki,MANANG,Narshon Rural Municipality,Rural Municipality
Gandaki,MANANG,Narpa Bhumi Rural Municipality,Rural Municipality
Gandaki,MANANG,Manang Ingshyang Rural Municipality,Rural Municipality
Gandaki,MUSTANG,Thasang Rural Municipality,Rural Municipality
Gandaki,MUSTANG,Gharapjhong Rural Municipality,Rural Municipality
Gandaki,MUSTANG,Lomanthang Rural Municipality,Rural Municipality
Gandaki,MUSTANG,Lo-Ghekar Damodarkunda Rural Municipality,Rural Municipality
Gandaki,MUSTANG,Waragung Muktikhsetra Rural Municipality,Rural Municipality
Gandaki,MYAGDI,Mangala Rural Municipality,Rural Municipality
Gandaki,MYAGDI,Malika Rural Municipality,Rural Municipality
Gandaki,MYAGDI,Raghuganga Rural Municipality,Rural Municipality
Gandaki,MYAGDI,Dhaulagiri Rural Municipality,Rural Municipality
Gandaki,MYAGDI,Annapurna Rural Municipality,Rural Municipality
Gandaki,MYAGDI,Beni Municipality,Municipality
Gandaki,KASKI,Rupa Rural Municipality,Rural Municipality
Gandaki,KASKI,Madi Rural Municipality,Rural Municipality
Gandaki,KASKI,Annapurna Rural Municipality,Rural Municipality
Gandaki,KASKI,Machhapuchchhre Rural Municipality,Rural Municipality
Gandaki,KASKI,Pokhara Metropolitian City,Metropolitian City
Gandaki,LAMJUNG,Dordi Rural Municipality,Rural Municipality
Gandaki,LAMJUNG,Dudhpokhari Rural Municipality,Rural Municipality
Gandaki,LAMJUNG,Marsyangdi Rural Municipality,Rural Municipality
Gandaki,LAMJUNG,Kwholasothar Rural Municipality,Rural Municipality
Gandaki,LAMJUNG,Sundarbazar Municipality,Municipality
Gandaki,LAMJUNG,Besishahar Municipality,Municipality
Gandaki,LAMJUNG,Rainas Municipality,Municipality
Gandaki,LAMJUNG,MadhyaNepal Municipality,Municipality
Gandaki,TANAHU,Ghiring Rural Municipality,Rural Municipality
Gandaki,TANAHU,Devghat Rural Municipality,Rural Municipality
Gandaki,TANAHU,Rhishing Rural Municipality,Rural Municipality
Gandaki,TANAHU,Myagde Rural Municipality,Rural Municipality
Gandaki,TANAHU,Bandipur Rural Municipality,Rural Municipality
Gandaki,TANAHU,Anbukhaireni Rural Municipality,Rural Municipality
Gandaki,TANAHU,Byas Municipality,Municipality
Gandaki,TANAHU,Shuklagandaki Municipality,Municipality
Gandaki,TANAHU,Bhimad Municipality,Municipality
Gandaki,TANAHU,Bhanu Municipality,Municipality
Gandaki,NAWALPARASI EAST,Baudeekali Rural Municipality,Rural Municipality
Gandaki,NAWALPARASI EAST,Bulingtar Rural Municipality,Rural Municipality
Gandaki,NAWALPARASI EAST,Hupsekot Rural Municipality,Rural Municipality
Gandaki,NAWALPARASI EAST,Binayee Tribeni Rural Municipality,Rural Municipality
Gandaki,NAWALPARASI EAST,Madhyabindu Municipality,Municipality
Gandaki,NAWALPARASI EAST,Devchuli Municipality,Municipality
Gandaki,NAWALPARASI EAST,Gaidakot Municipality,Municipality
